state_name,party,name,twitter_handle
Alabama,republican,Kay Ivey,GovernorKayIvey
Alaska,republican,Mike Dunleavy,GovDunleavy
Arizona,republican,Douglas Ducey,dougducey
California,democrat,Gavin Newsom,GavinNewsom
Arkansas,republican,Asa Hutchinson,AsaHutchinson
Colorado,democrat,Jared Polis,jaredpolis
Connecticut,democrat,Edward Lamont,GovNedLamont
Delaware,democrat,John Carney,johncarneyde
Florida,republican,Ronald DeSantis,rondesantisfl
Georgia,republican,Brian P. Kemp,GovKemp
Hawaii,democrat,David Ige,GovHawaii
Idaho,republican,Brad Little,GovernorLittle
Illinois,democrat,J.B. Pritzker,jbpritzker
Indiana,republican,Eric Holcomb,GovHolcomb
Iowa,republican,Kimberly Reynolds,kimreynoldsia
Kansas,democrat,Laura Kelly,GovLauraKelly
Kentucky,democrat,Andy Beshear,AndyBeshearKY
Louisiana,democrat,John Edwards,louisianagov
Maine,republican,Janet Mills,GovJanetMills
Maryland,republican,Lawrence Hogan,LarryHogan
Massachusetts,republican,Charles Baker, massgovernor
Michigan,democrat,Gretchen Whitmer,gretchenwhitmer
Minnesota,democrat,Tim Walz,GovTimWalz
Mississippi,republican,Tate Reeves,tatereeves
Missouri,republican,Michael Parson,mikeparson
Montana,democrat,Stephen Bullock,GovernorBullock
Nebraska,republican,John Ricketts,GovRicketts
Nevada,democrat,Steve Sisolak,stevesisolak
New Hampshire,republican,Christopher Sununu,GovChrisSununu
New Jersey,democrat,Philip Murphy,philmurphynj
New Mexico,democrat,Michelle Lujan Grisham,michelle4nm
New York,democrat,Andrew Cuomo,nygovcuomo
North Carolina,democrat,Roy Cooper,NC_Governor
North Dakota,republican,Douglas Burgum,DougBurgum
Ohio,republican,Michael DeWine,mikedewine
Oklahoma,republican,Kevin Stitt,GovStitt
Oregon,democrat,Katherine Brown,OregonGovBrown
Pennsylvania,democrat,Thomas Wolf,governortomwolf
Rhode Island,democrat,Gina Raimondo,ginaraimondo
South Carolina,republican,Henry McMaster,henrymcmaster
South Dakota,republican,Kristi Noem,kristinoem
Tennessee,republican,Bill Lee,GovBillLee
Texas,republican,Gregory Abbott,GregAbbott_TX
Utah,republican,Gary Herbert,GovHerbert
Vermont,republican,Philip Scott,GovPhilScott
Virginia,democrat,Ralph Northam,ralphnortham
Washington,democrat,Jay Inslee,jayinslee
West Virginia,democrat,James Justice,WVGovernor
Wisconsin,democrat,Tony Evers,tony4wi
Wyoming,republican,Mark Gordon,GovernorGordon
