state_name,party,name,official_twitter,personal_twitter
Alabama,republican,Kay Ivey,GovernorKayIvey,kayiveyforgov
Alaska,republican,Mike Dunleavy,MikeDunleavyGov,GovDunleavy
Arizona,republican,Douglas Ducey,9thFloorAZ,dougducey
Arkansas,republican,Asa Hutchinson,AsaHutchinson,
Florida,republican,Ronald DeSantis,GovRonDeSantis,rondesantisfl
Georgia,republican,Brian P. Kemp,GovKemp,BrianKempGA
Idaho,republican,Brad Little,GovernorLittle,
Indiana,republican,Eric Holcomb,GovHolcomb,HolcombForIN
Iowa,republican,Kimberly Reynolds,IAGovernor,kimreynoldsia
Maryland,republican,Lawrence Hogan,GovLarryHogan,LarryHogan
Massachusetts,republican,Charles Baker,massgovernor,CharlieBakerMA
Mississippi,republican,Tate Reeves,,tatereeves
Missouri,republican,Michael Parson,GovParsonMO,mikeparson
Nebraska,republican,John Ricketts,NEGovOffice,GovRicketts
New Hampshire,republican,Christopher Sununu,GovChrisSununu,ChrisSununu
North Dakota,republican,Douglas Burgum,DougBurgum,DougForDakota
Ohio,republican,Michael DeWine,GovMikeDeWine,mikedewine
Oklahoma,republican,Kevin Stitt,GovStitt,
South Carolina,republican,Henry McMaster,scgovernorpress,henrymcmaster
South Dakota,republican,Kristi Noem,GovKristiNoem,kristinoem
Tennessee,republican,Bill Lee,GovBillLee,BillLeeTN
Texas,republican,Gregory Abbott,GovAbbott,GregAbbott_TX
Utah,republican,Gary Herbert,GovHerbert,HerbertForUtah
Vermont,republican,Philip Scott,GovPhilScott,PhilScott4VT
West Virginia,republican,James Justice,WVGovernor,JimJusticeWV
Wyoming,republican,Mark Gordon,GovernorGordon,Mark_Gordon_WY
